Month,View,Gain,p_Gain
"10/2021","2_210_000","-2.51_000_000","-53.2%"
"09/2021","4_720_000","-956_000","-16.8%"
"08/2021","5_680_000","+1.34_000_000","+31%"
"07/2021","4_330_000","-2.88_000_000","-39.9%"
"06/2021","7_210_000","-3.70_000_000","-33.9%"
"05/2021","10_900_000","-8.52_000_000","-43.9%"
"04/2021","19_400_000","+2.16_000_000","+12.5%"
"03/2021","17_300_000","-2.25_000_000","-11.5%"
"02/2021","19_500_000","-11.7_000_000","-37.5%"
"01/2021","31_200_000","-19.1_000_000","-37.9%"
"12/2020","50_300_000","-26.7_000_000","-34.7%"
"11/2020","77_000_000","-32.6_000_000","-29.7%"
"10/2020","110_000_000","-37.2_000_000","-25.4%"
"09/2020","147_000_000","+116_000_000","+380%"
"08/2020","30_600_000","+26.4_000_000","+634%"
"07/2020","4_160_000","+4.04_000_000","+3.4_000%"
"06/2020","120_000","-202_000","-62.7%"
"05/2020","322_000","+216_000","+204%"
"04/2020","106_000","+32_100","+43.6%"
"03/2020","73_800","+27_800","+60.6%"